model,factor,mult,threshold,reward,clicks
DepthFirst,1//2,1,19.0,8.35647,15.70601
DepthFirst,1//2,1,20.0,8.35072,15.78086
DepthFirst,1//2,1,21.0,8.344,15.85027
DepthFirst,1//2,1,22.0,8.35418,15.90942
DepthFirst,1//2,1,23.0,8.33567,15.95358
DepthFirst,1//2,1,24.0,8.34633,15.97133
DepthFirst,1//2,1,25.0,8.35567,15.98633
DepthFirst,1//2,1,26.0,8.32808,15.99392
DepthFirst,1//2,1,27.0,8.35909,16.0
DepthFirst,1//2,1,28.0,8.32934,16.0
BreadthFirst,1//2,1,0.0,2.10739,0.99495
BreadthFirst,1//2,1,1.0,8.22761,11.46783
BreadthFirst,1//2,1,2.0,8.35094,13.05996
BreadthFirst,1//2,1,3.0,8.32817,14.3376
BreadthFirst,1//2,1,4.0,8.36655,14.48412
BreadthFirst,1//2,1,5.0,8.35697,14.63948
BreadthFirst,1//2,1,6.0,8.34994,14.78438
BreadthFirst,1//2,1,7.0,8.34599,14.92389
BreadthFirst,1//2,1,8.0,8.35397,15.05079
BreadthFirst,1//2,1,9.0,8.35383,15.19008
BreadthFirst,1//2,1,10.0,8.34662,15.26737
BreadthFirst,1//2,1,11.0,8.34273,15.37079
BreadthFirst,1//2,1,12.0,8.34079,15.45714
BreadthFirst,1//2,1,13.0,8.3742,15.54029
BreadthFirst,1//2,1,14.0,8.32135,15.61721
BreadthFirst,1//2,1,15.0,8.35188,15.67856
BreadthFirst,1//2,1,16.0,8.35539,15.74002
BreadthFirst,1//2,1,17.0,8.36404,15.79001
BreadthFirst,1//2,1,18.0,8.35281,15.83461
BreadthFirst,1//2,1,19.0,8.33301,15.87208
BreadthFirst,1//2,1,20.0,8.3325,15.90946
BreadthFirst,1//2,1,21.0,8.35081,15.93924
BreadthFirst,1//2,1,22.0,8.35123,15.95686
BreadthFirst,1//2,1,23.0,8.342,15.97183
BreadthFirst,1//2,1,24.0,8.34475,15.98319
BreadthFirst,1//2,1,25.0,8.34562,15.99271
BreadthFirst,1//2,1,26.0,8.37338,15.99678
BreadthFirst,1//2,1,27.0,8.36217,16.0
BreadthFirst,1//2,1,28.0,8.35593,16.0
BestFirst,1//3,1,0.0,4.50325,0.91973
BestFirst,1//3,1,1.0,13.04221,4.16247
BestFirst,1//3,1,2.0,13.1852,4.70338
BestFirst,1//3,1,3.0,13.35287,5.03665
BestFirst,1//3,1,4.0,13.51038,5.11668
BestFirst,1//3,1,5.0,13.98511,5.37766
BestFirst,1//3,1,6.0,14.28785,5.60148
BestFirst,1//3,1,7.0,14.35288,5.68582
BestFirst,1//3,1,8.0,14.65823,5.91201
BestFirst,1//3,1,9.0,14.83461,6.10416
BestFirst,1//3,1,10.0,14.92604,6.13344
